Platform,MITRE ATT&CK Tactics, MITRE ATT&CK Technique, Tool / Binary, Host/Network Artifacts, Data Source, Logic, SPL (Splunk), Microsoft KQL Query,Elastic KQL Query, Common False Positives
Windows,Command and Control, T1105 - Ingress Tool Transfer, certutil,"certutil command with ""-urlcache"" and ""-f"" flags", Sysmon Event 1, LoLBin Abuse: Misusing the -urlcache flag to download arbitrary files (Ingress Tool Transfer) or -decode to obfuscate payloads. Bypasses application whitelisting.,"EventCode=""1"" Image=""*\\certutil.exe"" CommandLine=""*-urlcache* -f *""",,, Legitimate use of certutil for certificate management.
Windows,Command and Control, T1105 - Ingress Tool Transfer, certutil,"certutil command with ""-urlcache"" and ""-f"" flags",Security Event 4688, LoLBin Abuse: Misusing the -urlcache flag to download arbitrary files (Ingress Tool Transfer) or -decode to obfuscate payloads. Bypasses application whitelisting.,"EventCode=4688 NewProcessName=""*\\certutil.exe"" (CommandLine=""*-urlcache*"" OR CommandLine=""*-f*"")",,, Legitimate use of certutil for certificate management.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",Sysmon Event 1,Download Cradle: Fetches remote payloads using aliases. Sysmon 1 captures full arguments,"EventCode=""1"" Image=""*\\powershell.exe"" CommandLine IN (""*Invoke-WebRequest*"", ""*iwr*"", ""*wget*"", ""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",Security Event 4688,Download Cradle: Fetches remote payloads using aliases. Event 4688 captures full arguments (Requires 'Include command line in process creation events' GPO enabled).,"EventCode=4688 NewProcessName=""*\\powershell.exe"" (CommandLine=""*Invoke-WebRequest*"" OR CommandLine=""*iwr*"" OR CommandLine=""*wget*"" OR CommandLine=""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",PowerShell Event 4104,Download Cradle: Fetches remote payloads using aliases. Powershell 4104 captures full script block,"EventCode=""4104"" ScriptBlockText IN (""*Invoke-WebRequest*"", ""*iwr*"", *""wget*"", ""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,curl.exe (Native Binary),"Image is curl.exe; Args: -O, -o",Sysmon Event 1,Native Binary Abuse: Distinct from PowerShell alias. Used to bypass PS logging constraints,"EventCode=""1"" Image=""*\\curl.exe"" AND CommadnLine=""*http*"" AND CommandLine IN (""*-O*"" OR ""-o"")",,,DevOps scripts; Developer workstations.
Windows,Command and Control, T1105 - Ingress Tool Transfer,curl.exe (Native Binary),"Image is curl.exe; Args: -O, -o",Security Event 4688,Native Binary Abuse: Distinct from PowerShell alias. Used to bypass PS logging constraints,"EventCode=4688 NewProcessName=""*\\curl.exe"" CommandLine=""*http*"" (CommandLine=""*-O*"" OR CommandLine=""*-o*"")",,,DevOps scripts; Developer workstations.
Windows,Credential Access,T1003.001 _ LSASS Dump,Mimikatz,"Dump files (e.g., lsass.dmp, debug.bin) typically found in %TEMP% or C:\Windows\Temp; Windows Error Reporting (WER) logs (if LSASS crashed during dump); Sysmon Event 11 (File Create) targeting .dmp extension.","Sysmon Event 1
Sysmon Event 10",Detect any unauthorized process attempting to read LSASS memory or if the command line contains sekurlsa.,"(EventCode=""10"" TargetImage=""*lsass.exe"" GrantedAccess=""0x1F3FFF"" SourceImage!=""*svchost.exe"") OR (EventCode=""1"" CommandLine=""*sekurlsa*"")",,,"Antivirus / EDR processes (scanning LSASS memory), Debugging tools (Visual Studio)"
Windows,Credential Access,T1558.003 - Kerberoasting,Rubeus / Impacket,RC4 Ticket Downgrade + Volume Anomaly,Security Event 4769,"High Fidelity: Detects an IP forcing RC4 encryption AND requesting multiple unique SPNs, filtered for non-machine accounts.","EventCode=4769 TicketEncryptionType=0x17 ServiceName!=""*$"" | stats dc(ServiceName) as svc_count by src_ip | where svc_count > 3",,,None (Eliminates single legacy service noise).
Windows,Credential Access,T1558.004 - AS-REP Roasting,Rubeus / Impacket,Pre-Auth Disabled (Type 0) + RC4 Downgrade,Security Event 4768,"High Fidelity: Detects TGT request for accounts with pre-auth disabled, specifically requesting weak RC4 encryption.",EventCode=4768 PreAuthType=0 TicketEncryptionType=0x17,,,Legitimate legacy applications or misconfigured service accounts.
