Category,Investigation Goal (What we look for),Artifact Name (The Source),Path / Registry Key,Evidence Value (Analysis Tip)
Windows_System,Establish OS Baseline,Registry: CurrentVersion,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,"Contains ProductName, ReleaseId, and InstallDate. Essential to verify if the image matches the victim machine."
Windows_System,Determine Timezone,Registry: TimeZoneInformation,HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,Identifies system bias from UTC. CRITICAL for creating a correct timeline.
Windows_Execution,Prove Program Execution,Prefetch Files (*.pf),C:\Windows\Prefetch\*.pf,"Tracks run count and last execution time (up to 8). Proof that a binary ran, not just existed."
Windows_Execution,Find Deleted File Execution ,ShimCache (AppCompatCache),HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\AppCompatCache,Tracks file metadata even if the file was deleted. Key evidence for 'dropped & executed' malware.
Windows_Execution,Link Binary to Time ,Amcache (Amcache.hve),C:\Windows\appcompat\Programs\Amcache.hve,Contains SHA1 hashes and compilation timestamps. crucial for identifying specific malware versions.
Windows_Execution,Track User GUI Activity ,UserAssist,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist,Logs programs launched via Explorer (GUI). Shows run count and 'Focus Time' (how long it was used).
Windows_FileAccess,Find Recent Files,LNK Files (Shortcuts),C:\Users\<User>\AppData\Roaming\Microsoft\Windows\Recent,"Created when files are opened. Reveals original file path, MAC timestamps, and volume serial number."
Windows_FileAccess,App-Specific History ,JumpLists (AutoDest),C:\Users\<User>\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations,Shows recent files per application (e.g. recent Word docs). Good for finding accessed sensitive data.
Windows_FileAccess,Reconstruct Folder Browsing,ShellBags,USRCLASS.DAT\Local Settings\Software\Microsoft\Windows\Shell\Bags,Tracks which folders were opened/viewed in Explorer. Proves attacker navigated to specific dirs (e.g. 'C:\Passwords').
Windows_USB,List Connected Devices,Registry: USBSTOR,HKLM\SYSTEM\CurrentControlSet\Enum\USBSTOR,"List of all USB devices ever connected. Contains Vendor, Product, and Serial Number."
